Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.616589704,-2.971256987,-3.273646887,1.975547287,7.911564672,1.214348832,1.050606636,1.800225854,-0.090707754,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,8.832277804,1.41411798,11.22971484,5.357403248,13.82631954,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.030660058,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426,-2.133493257,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.950036134,8.290070027,4.53996064,5.530050778,5.509998693,5.529914809,5.900083957,5.979982036,7.49996956,3.350067393,3.706891433,2.545322651,1.417524408,1.001988709,1.774486771,2.21875146,3.314804753,3.821081417,4.145237936,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.528361297,4.54676832,6.471014671,12.16871989,7.64786979,7.396982715,4.536353119,0.040011067,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237,1.629345471,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.478092364,1.584423608,0.583764727,5.322962924,9.310814055,5.748228831,6.497500807,4.574124951,5.822453363,0.426422635,4.768836619,3.62959887,6.658109668,3.168556916,2.439528417,3.306346262,3.372624384,0.832435499,2.045975654,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.284303689,5.105936984,3.060964305,0.490860761,1.726349343,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.481792445,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.900000001,9.5566415,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.404056162,-2.769230769,-5.85443038,2.18487395,
