Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,1849430168,1862849162,1805642458,1967821229,2154189944,1852067039,2318715084,2230335196,2628547486,2410055866,2250223464,2302793296,2418547486,2416983240,2546871508,2566871508,2511731844,2530000000,,
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,12403617031,15884505937,17784867183,20033260270,20632790721,20482502575,20087073274,19458784524,20291074614,19485109596,
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,7448734815,7375076435,13650938445,16086223836,21063484641,32940028096,46203141535,57667420502,74821071499,63484025273,75712633817,1.02092E+11,1.17631E+11,1.2681E+11,1.36862E+11,1.10286E+11,95864386154,1.18386E+11,1.01047E+11,
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,3586734166,4070817915,4475531638,5783429392,7360280000,8226134275,9159095071,10974641470,12936158342,11851854066,11807255327,12893983509,12228723553,12996577593,13350553941,11521106134,12054491077,13059105109,15085311980,
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GNI (current US$),NY.GNP.MKTP.CD,7.22548E+11,7.15369E+11,7.26667E+11,8.16904E+11,9.60188E+11,1.18071E+12,1.40994E+12,1.65705E+12,2.09358E+12,1.79537E+12,2.0926E+12,2.48226E+12,2.77111E+12,2.83409E+12,2.89802E+12,2.55655E+12,2.52944E+12,2.60692E+12,2.80295E+12,
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,1.09429E+11,1.08376E+11,1.10737E+11,1.24292E+11,1.48532E+11,1.83504E+11,2.26854E+11,2.66289E+11,3.19279E+11,2.56161E+11,2.89703E+11,3.50801E+11,3.7489E+11,3.9057E+11,4.03796E+11,3.59878E+11,3.59142E+11,3.80478E+11,4.16167E+11,
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,2.76656E+11,2.6097E+11,92763789033,1.22452E+11,1.46362E+11,1.76153E+11,2.24897E+11,2.79994E+11,3.52615E+11,3.22744E+11,4.09192E+11,5.1501E+11,5.33074E+11,5.40186E+11,5.15532E+11,5.83615E+11,5.45339E+11,6.26304E+11,5.01242E+11,
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,1964463665,2182923205,2464539523,2901554574,3684033821,5106476300,6686478520,9703722479,12353321039,9006718264,9718566179,10502184926,11042356211,11804012742,12131728963,10981745191,10791285368,11934826625,12594251073,
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,
