Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.044021312,2.883604303,3.315246786,3.656365079,2.529129469,3.397786778,3.608024388,5.392567845,8.955987052,-2.13542872,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,12.68626872,6.78459655,8.680570785,26.41866415,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,,
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,-60.49640059,13.48246792,10.27790492,8.777814293,7.280387304,-21.53169352,32.37773407,31.69168614,20.19037379,17.14531994
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.363137574,2.231396835,3.622335411,3.429123247,2.03159594,1.937617549,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.853790353,1.772204374,1.83299389,2.712592475,3.63228005,3.493685346,3.544985916,4.74390639,11.27066524,2.920897118,3.911061955,4.753163889,4.611844322,3.238108339,2.772885257,1.814077239,2.068840361,1.966825578,2.753528204,1.336015681
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.35,2.8,2.92,3.12,5.04,6.2,9.29,11.13,12.25042024,1.561813174,0.877983288,0.877346596,0.6622689,1.101118364,2.346268657,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,4.42,9.64,10.9,8.83,8.59,6.27,10.46,9.78,10.04,10.62,,,,25.68,34.27722371,53.54830435
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.790883769,3.145904647,1.060049293,4.721553366,6.961261359,0.638928002,2.892356625,4.407360896,8.949953354,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.771779797,1.402796636,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.457435148,4.407135362,2.981574539,2.732595966,2.343255225,2.691831683,3.555287737,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.344864555,2.649999223,1.810359539,1.355556733,2.06120354,2.299138822,1.441546962,2.168555998,3.21595023,0.50630835,1.81353628,3.286581974,2.485673529,2.000158912,1.605804145,0.896565316,0.891592367,2.081268583,1.998381877,1.530895534
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.805003037,1.547195902,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.66125777,20.8372929,1.463159974,5.73238743,7.852383768,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552,12.93998411,2.263516857,2.608339565
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,24.43202421,9.296187713,-1.365680053,10.64746457,8.176429375,13.25206992,2.745420002,8.412062858,24.40695104,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.544517762,2.469258231,1.645214362,1.588964,2.097283112,2.781432637,1.791207701,1.8230563,4.489444205,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.304212168,5.007432908,2.175694807,2.034565741,-0.400228702,6.415040184,2.333108564,-0.230627306,10.6597979,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.208256209,2.007173742,3.332564933,5.668707734,7.587536385,7.046618162,6.765261171,9.106984969,8.901944895,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.31626213,7.360939272,5.810143657,2.348641696,6.147130742,5.038838071,7.261594628,8.40253419,12.3487196,2.753202239,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.79874909,2.064355063,2.811868406,3.103729448
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.704852953,-1.207571802,-0.495540139,1.593625498,2.352941176,2.586206897,2.007469655,3.256666667,3.526003164,2.795512836,1.961884683,-0.401486989,2.758286056,3.301006139,2.646291465,1.839519875,2.800594698,1.38734376,2.084812496,
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.606329417,2.044989775,2.173577925,3.025045263,0.981914037,1.591606181,2.389826274,2.492577949,4.489559954,2.062734735,1.344027384,3.198781417,1.97336756,1.034670351,1.183177822,1.878438324,-0.330038396,1.499926233,2.267515101,
