Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.24042134,69.32334388,69.42163551,69.55482029,69.73474989,69.93532005,69.85738937,69.69038351,69.44592435,69.15972599,68.83809224,68.88560061,68.98693448,69.10885138,69.18110509,69.1597742,69.13761538,68.94633943,68.64660589,
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,48.81468211,48.90546984,49.09874752,49.34294013,49.61243489,49.91287028,49.75843687,49.60312962,49.48568076,49.4439988,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755,
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,50.23328696,50.24130825,50.29598302,50.38343173,50.48632474,50.58962307,50.54945928,50.53908894,50.54569505,50.56459942,50.59763029,50.50803527,50.46797763,50.47179249,50.51979678,50.61516696,50.68562911,50.80778714,50.97470164,
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,62.60814516,63.01736522,63.47476974,63.97268397,64.48562462,64.9983964,65.52240419,65.96118389,66.33378604,66.6470908,66.89951198,67.51370625,68.01189803,68.37295397,68.59902531,68.70472473,68.66009247,68.64261422,68.58239036,
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,57.50703418,58.01184516,58.52829436,59.04708186,59.55671194,60.04662276,60.53094072,60.98948377,61.40377281,61.75729714,62.04268459,62.27120648,62.43942519,62.55592646,62.64161269,62.71405096,62.65945588,62.64962774,62.6616874,
United Arab Emirates,ARE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,72.86412968,75.06460586,77.00266502,78.59847648,79.84338478,80.77112609,82.65515434,84.06349786,85.01002964,85.64911438,86.15810923,85.83389303,85.61541114,85.41015296,85.16720162,84.90274104,84.62749627,84.46089959,84.31148965,
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.80916887,62.02043897,62.21343388,62.40214863,62.6052674,62.82861017,62.99229028,63.19978722,63.42378873,63.62133458,63.76901689,63.88072264,63.94712888,63.98269221,64.01546985,64.06001976,64.06056661,64.08352251,64.12127729,
Armenia,ARM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.17314229,64.76078995,65.20660334,65.59084168,66.04471593,66.63853547,67.1672007,67.8599463,68.59883245,69.19886901,69.54546924,69.69530735,69.67964458,69.52199554,69.29291181,69.04257075,68.7610583,68.44896633,68.11276042,
American Samoa,ASM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,
